id,title,content,link,type,image,tag,level
collection36,emma_uiuxdesign,✸UIUX ✸視覺設計 ✸自我成長 美商UI/UX設計師,https://www.instagram.com/emma_uiuxdesign/,ig-collection,/images/resource/emma_uiuxdesign,UIUX,
collection35,Bestfolios,"The best portfolio websites and resumes from UI/UX designers, graphic designers and motion designers.",https://www.bestfolios.com/portfolios,portfolio,/images/resource/bestfolios,,
collection38,Will Hsu,"Passionate about solving problems, and creating simple yet impactful design. ",http://willhsu7.info/,portfolio,/images/resource/will,,
collection37,Minyu,"Lead design to simple, intuitive, and usable experiences",https://www.minyu.site/,portfolio,/images/resource/minyu,,
collection36,aaaurora.design,金融業UI設計師分享UIUX和產業知識,https://www.instagram.com/aaaurora.design/,ig-collection,/images/resource/aaaurora,UIUX,初心
collection35,growth.design,有很多知國外產品的 case study (Linkedin、Uber Eats),https://growth.design/case-studies,app-collection,/images/resource/growth,UIUX,
collection00,TWWEB.INFO,以台灣網站設計為主要研究方向，並著重在整體品牌、視覺、使用者介面上，希望透過分類、蒐集、累積與分析，提供知識交流的媒體平台。,https://twweb.info/,web-collection,/images/resource/twweb,,
collection01,S5 Style,收集來自日本和各國的網頁設計，有著各種篩選和進階自訂義及我的最愛,https://bm.s5-style.com/,web-collection,/images/resource/s5,,
collection02,MUUUUU,"情報設計の参考にしやすく、現場レベルでWEBデザイナーが参考にし易いであろう、
縦に長くオーソドックスなレイアウトでかつ、非常にデザインが優れたサイトを厳選して掲載しております。",https://muuuuu.org/,web-collection,/images/resource/muuuu,,
collection03,デザインのこと – Web design gallery,国内、海外のウェブデザイン、パソコン・タブレット・スマートフォンでも見やすいレスポンシブ対応の「あ、いいな」と思うウェブデザインを集めています。,https://designnokoto.com/,web-collection,/images/resource/designnokoto,,
collection04,RWDJP,日本国内の秀逸なレスポンシブWebデザインを集めたギャラリーサイト,https://responsive-jp.com/,web-collection,/images/resource/rwdjp,,
collection05,WebDesignClip,Webサイト制作の参考になる日本のWebデザインリンク集,https://webdesignclip.com/,web-collection,/images/resource/webdesignclip,,
collection06,bookma,感性を刺激する Webデザインギャラリーブックマ！,https://bookma.org/,web-collection,/images/resource/bookma,,
